Rk,Player,From,To,School,G,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Passing Int,Passing Rate
281,Braxton Miller,2011,2015,Ohio State,50,396,667,59.4,5295,52,17,146.7
282,Kellen Mond,2017,2019,Texas A&M,36,613,1061,57.8,7379,52,24,127.8
283,Tanner Price,2010,2013,Wake Forest,48,824,1451,56.8,8899,52,31,115.9
284,Chase Rettig,2010,2013,Boston College,46,685,1242,55.2,8253,52,39,118.5
285,JaMarcus Russell,2004,2006,Louisiana State,35,493,797,61.9,6625,52,21,147.9
286,Adam Tafralis,2004,2007,San Jose State,45,603,1027,58.7,7548,52,29,131.5
287,Logan Thomas,2010,2013,Virginia Tech,45,693,1248,55.5,9003,52,39,123.6
288,Greg Ward Jr.,2013,2016,Houston,49,746,1106,67.5,8704,52,26,144.4
289,Manny Wilkins,2015,2018,Arizona State,39,704,1114,63.2,8624,52,23,139.5
290,Drew Willy,2005,2008,Buffalo,44,849,1322,64.2,8748,52,30,128.2
291,Tyler Wilson,2008,2012,Arkansas,34,593,948,62.6,7765,52,26,144.0
292,Dustin Almond,2002,2005,Southern Mississippi,44,538,1052,51.1,7342,51,28,120.4
293,Nick Arbuckle,2014,2015,Georgia State,25,566,915,61.9,7651,51,29,144.2
294,Charlie Brewer,2017,2019,Baylor,35,630,983,64.1,7742,51,20,143.3
295,Zach Collaros,2008,2011,Cincinnati,33,485,783,61.9,6272,51,26,144.1
296,James Franklin,2010,2013,Missouri,41,586,943,62.1,6962,51,25,136.7
297,Kawaun Jakes,2009,2012,Western Kentucky,48,650,1123,57.9,7538,51,38,122.5
298,Nate Longshore,2005,2008,California,35,557,933,59.7,6775,51,31,132.1
299,Jordan Lynch,2010,2013,Northern Illinois,50,509,824,61.8,6209,51,14,142.1
